미디어타입,아티스트,장소명,장소타입,장소설명,영업시간,브레이크타임,휴무일,주소,위도,경도,전화번호,최종작성일
artist,2:00 AM,휘닉스 평창 스노우 파크,playground,"우리 결혼했어요 조권, 가인의 데이트 장소",매일 09시 - 16시 (기후에 따라 운영시간 변경),정보없음,연중무휴,강원도 평창군 봉평면 태기로 174,37.577868,128.32341,1588-2828,2022-11-18
artist,2:00 AM,원마운트,playground,"우리 결혼했어요 진운, 고준희의 데이트 장소",평일 10시 - 22시,정보없음,연중무휴,경기도 고양시 일산서구 한류월드로 300,37.664347,126.754379,1566-2232,2022-11-18
artist,2:00 AM,율동공원,playground,"우리 결혼했어요 조권, 가인의 데이트 장소",매일 00시 - 24시,정보없음,연중무휴,경기도 성남시 분당구 문정로 72,37.3765384,127.152391,031-702-8713,2022-11-18
artist,2:00 AM,베르아델승마클럽,playground,"우리 결혼했어요 진운, 고준희의 데이트 코스",화-일 06시 - 21시,정보없음,월요일,경기도 안산시 단원구 부흥로 376,37.212744,126.608469,032-882-2255,2022-11-18
artist,2:00 AM,서원아트리움,playground,진운이 아이스버킷챌린지를 한 장소,수-일 08시 - 18시,정보없음,"월요일, 화요일",경기도 파주시 광탄면 서원길 333,37.815938,126.896078,031-940-9560,2022-11-18
artist,2:00 AM,서울특별시 학생체육관,playground,레인보우 스타즈` 진운이 경기한 체육관,매일 00시 - 24시,정보없음,연중무휴,서울특별시 송파구 잠실동 10-3,37.512199,127.07525,02-422-2285,2022-11-18
artist,2:00 AM,그랜드하얏트서울 아이스링크,playground,"우리 결혼했어요 조권, 가인의 데이트 장소",12월-2월 매일 12시 - 21시,정보없음,3월-11월,서울특별시 용산구 소월로 322,37.539349,126.99715,02-799-8113,2022-11-18
artist,2:00 PM,경기도잣향기푸른숲,playground,찬성이 김비서가 왜 그럴까를 촬영한 곳,"하절기 화-토 09시 - 18시, 동절기 화-토 09시 - 17시",정보없음,"월요일, 1월1일, 명절(당일)",경기도 가평군 상면 축령로 289-146,37.769366,127.339123,031-8008-6769,2022-11-18
artist,2:00 PM,쁘띠프랑스,playground,"택연, 닉쿤이 런닝맨을 촬영한 곳",매일 09시 - 18시,정보없음,연중무휴,경기도 가평군 청평면 호반로 1063,37.714908,127.490287,031-584-8200,2022-11-18
artist,2:00 PM,닭이봉춘천닭갈비 의정부점,restaurant,택연의 싸인이 있는 닭갈비집,매일 11시 - 23시,정보없음,연중무휴,경기도 의정부시 신흥로 196,37.733528,127.043793,031-876-5707,2022-11-18
